23107,23126,22870,22870
22847,22975,22719,22761
22780,22837,22719,22757
22752,22951,22676,22894
22851,22998,22785,22847
22652,22671,22505,22652
22738,22780,22633,22695
22885,23226,22856,23150
23254,23325,23060,23122
22927,23197,22913,23079
23103,23259,22956,23183
23145,23254,23027,23216
23283,23515,23254,23453
23562,23586,23302,23302
23321,23354,22989,22989
23046,23197,22965,23197
23254,23311,23069,23079
23003,23013,22610,22610
22567,22832,22567,22752
22752,22776,22472,22586
22539,22624,22316,22373
22240,22553,22193,22529
22245,22358,22188,22278
22382,22439,22169,22212
22316,22572,22311,22524
22268,22311,22102,22311
22496,22543,21975,22079
21851,22098,21771,22060
22060,22178,21865,22178
22074,22098,21524,21671
21681,21842,21610,21619
21832,22088,21818,22088
22169,22330,22079,22207
22079,22102,21804,21927
22102,22278,22084,22235
22069,22292,21979,22268
22197,22306,22060,22302
22415,22567,22368,22463
22377,22463,22287,22306
22074,22093,21946,22050
22207,22477,22178,22458
22425,22576,22406,22515
22031,22060,21856,21908
21790,21884,21591,21747
21975,22093,21927,22031
22050,22401,22050,22354
22302,22491,22273,22382
22681,22681,22553,22572
22534,22643,22534,22619
22562,22733,22520,22657
22776,22785,22610,22662
22633,22723,22543,22643
22690,22847,22586,22667
22766,22818,22667,22714
22652,22795,22619,22686
22951,23050,22932,23032
23084,23107,23041,23103
23103,23164,23060,23107
23155,23207,23141,23155
23188,23197,22923,22994
22951,23093,22913,23093
23141,23420,23122,23306
23316,23406,23287,23359
23491,23491,23321,23340
23340,23411,23245,23321
23378,23487,23325,23382
23482,23709,23468,23510
23615,23619,23477,23524
23610,23667,23425,23496
23553,23615,23506,23615
23624,23700,23562,23596
23524,23605,23439,23534
23577,23586,23482,23491
23491,23600,23482,23529
23529,23681,23529,23652
23757,23818,23733,23757
23799,23804,23591,23657
23629,23648,23321,23321
23340,23392,23287,23363
23302,23311,23145,23169
23169,23330,23160,23287
23378,23420,23207,23302
23164,23278,23055,23254
23250,23311,23155,23273
23278,23472,23259,23458
23809,23946,23747,23937
23923,23994,23894,23918
23743,23856,23700,23837
23908,23984,23856,23870
23908,24022,23790,23790
23899,24027,23880,23975
23894,23956,23852,23885
23889,23899,23780,23856
23852,24013,23833,23927
23918,23961,23904,23927
24047,24047,23681,23681
23681,23705,23502,23603
23555,23560,23410,23425
23521,23541,23434,23497
23386,23449,23309,23376
23376,23415,23290,23338
23290,23430,23280,23430
23502,23507,23290,23405
23328,23420,23256,23352
23343,23352,23130,23169
23106,23265,23087,23203
23236,23246,23130,23217
23154,23154,22957,23087
23014,23072,22985,23024
22990,23087,22966,23024
23063,23116,22913,23087
23058,23058,22918,22923
23058,23261,23053,23246
23256,23304,23174,23203
23241,23333,23198,23323
23323,23323,23159,23270
23241,23459,23140,23459
23386,23502,23333,23473
23463,23521,23430,23516
23560,23579,23483,23555
23589,23883,23589,23869
23869,24110,23864,24110
24096,24240,23985,24100
24086,24091,24004,24004
23830,23845,23507,23507
23468,23536,23357,23430
23386,23512,23323,23420
23430,23468,23164,23241
23396,23502,23265,23280
23497,23642,23483,23603
23584,23627,23492,23603
23618,23801,23555,23738
23734,23787,23690,23753
